time,theta_m,theta_D_joint,theta_P_joint,theta_M_joint,pwm
0.08000000000000006,100.44410717028717,49.398741231288774,0.0,0.0,420
0.08100000000000006,101.66392952741906,49.9986538659438,0.0,0.0,420
0.08200000000000006,102.88326395560809,50.59832653554496,0.0,0.0,420
0.08300000000000006,104.10211065002585,51.19775933607829,0.0,0.0,420
0.08400000000000006,105.32046980576584,51.7969523634914,0.0,0.0,420
0.08500000000000006,106.53834161784353,52.395905713693544,0.0,0.0,420
0.08600000000000006,107.75572628119639,52.994619482555606,0.0,0.0,420
0.08700000000000006,108.97262399068391,53.593093765910126,0.0,0.0,420
0.08800000000000006,110.18903494108764,54.1913286595513,0.0,0.0,420
0.08900000000000007,111.4049593271112,54.78932425923502,0.0,0.0,420
0.09000000000000007,112.62039734338036,55.38708066067887,0.0,0.0,420
